aX;aY;aZ;gX;gY;gZ
1.465;-0.216;1.070;41.687;-3.296;102.295
1.430;-0.152;1.123;7.874;-0.061;131.958
1.402;0.002;1.175;-37.537;1.160;163.452
1.362;0.142;1.172;-76.843;11.108;183.411
1.227;0.280;1.122;-101.868;23.926;195.007
1.158;0.439;1.038;-126.892;33.142;199.280
1.102;0.531;1.033;-155.029;42.175;190.735
0.972;0.589;0.965;-157.349;57.007;171.326
0.852;0.635;0.879;-155.762;70.496;149.780
0.950;0.592;0.805;-156.982;79.712;128.235
0.862;0.430;0.754;-140.869;91.492;105.286
0.767;0.284;0.599;-113.281;104.980;90.027
0.748;0.155;0.471;-111.450;109.253;81.360
0.721;0.039;0.387;-128.479;106.323;75.317
0.693;-0.088;0.319;-145.508;101.868;72.083
0.638;-0.193;0.196;-158.020;96.741;72.449
0.587;-0.271;0.098;-172.180;89.355;75.256
0.583;-0.316;0.009;-198.364;83.740;81.665
0.113;-0.242;-0.127;-224.548;78.552;87.097
0.289;-0.199;-0.376;-280.212;64.514;85.815
0.461;-0.320;-0.392;-355.286;52.063;67.261
0.183;-0.280;-0.474;-371.704;46.082;58.228
0.234;-0.299;-0.725;-373.596;44.373;62.561
0.157;-0.339;-0.768;-407.410;29.236;76.904
-0.101;-0.272;-0.948;-434.448;12.451;99.854
-0.037;-0.278;-1.104;-460.754;-5.798;116.638
-0.055;-0.293;-1.201;-467.468;-29.053;121.399
-0.102;-0.242;-1.252;-441.589;-51.331;120.667
-0.057;-0.249;-1.313;-381.653;-73.792;114.868
-0.059;-0.318;-1.500;-291.809;-87.158;107.849
-0.126;-0.447;-1.651;-217.407;-104.858;105.042
-0.208;-0.516;-1.693;-160.950;-138.306;112.915
-0.270;-0.585;-1.616;-114.868;-178.284;122.559
-0.284;-0.752;-1.516;-68.115;-214.722;127.197
-0.314;-0.945;-1.450;-21.606;-244.873;129.761
-0.331;-1.158;-1.307;21.057;-265.015;123.535
-0.238;-1.376;-1.193;67.261;-278.137;113.403
-0.161;-1.529;-1.146;125.671;-282.959;107.483
-0.037;-1.661;-1.134;178.772;-293.884;107.666
-0.049;-1.716;-1.096;194.519;-307.068;113.831
-0.069;-1.771;-0.841;173.157;-326.050;121.948
-0.035;-1.785;-0.557;178.833;-348.206;137.939
0.010;-1.667;-0.202;189.880;-363.525;153.992
0.185;-1.592;0.299;190.247;-368.713;161.743
0.438;-1.641;0.836;213.013;-355.652;164.185
0.674;-1.694;1.292;245.911;-328.552;166.687
0.902;-1.536;1.734;249.084;-297.302;177.734
1.062;-1.278;2.129;246.155;-260.315;195.801
1.188;-0.863;2.553;243.408;-225.220;217.407
1.315;-0.556;2.868;237.793;-184.387;239.502
1.354;-0.244;3.079;219.177;-140.991;262.390
1.345;0.198;3.265;190.491;-99.915;279.114
1.258;0.814;3.412;160.583;-59.143;291.870
1.167;1.466;3.519;124.695;-17.151;298.950
1.048;2.124;3.579;80.994;19.165;302.551
0.974;2.714;3.542;36.865;52.063;292.175
0.873;3.065;3.413;0.000;86.121;261.841
0.733;3.292;3.253;-30.762;116.760;227.661
0.562;3.383;3.079;-48.462;149.231;186.279
0.367;3.252;2.743;-56.702;180.969;139.404
0.137;3.078;2.316;-77.576;200.928;100.098
-0.003;2.949;2.011;-103.577;206.238;65.491
-0.131;2.741;1.751;-111.328;210.571;40.039
-0.246;2.606;1.534;-115.295;212.769;17.517
-0.380;2.563;1.358;-131.348;207.092;-0.977
-0.502;2.533;1.248;-159.119;199.402;-21.179
-0.667;2.543;1.188;-193.481;189.270;-40.527
-0.755;2.429;1.196;-219.299;179.016;-68.726
-0.852;2.237;1.324;-240.295;160.706;-97.046
-0.964;2.083;1.461;-258.911;147.644;-124.084
-1.099;2.012;1.520;-271.240;140.381;-146.362
-1.238;1.789;1.625;-278.992;131.653;-176.270
-1.351;1.393;1.701;-269.897;121.887;-212.769
-1.436;0.904;1.607;-238.403;116.333;-251.221
-1.482;0.466;1.437;-194.458;117.859;-279.541
-1.498;0.117;1.231;-156.433;114.136;-293.945
-1.462;-0.201;1.022;-124.817;107.178;-298.096
-1.428;-0.393;0.885;-106.323;92.651;-292.786
