aX;aY;aZ;gX;gY;gZ
-0.930;3.142;-0.369;171.509;84.412;-88.196
1.570;0.945;-0.417;527.161;376.099;-76.172
1.515;-0.335;0.289;176.819;232.605;-99.365
1.021;-2.138;1.086;176.697;36.438;-82.581
1.244;0.262;0.484;29.358;21.973;18.555
1.225;0.277;1.015;-76.782;-9.521;44.128
0.946;0.554;1.127;8.728;10.620;-4.517
1.142;0.266;1.053;144.592;44.434;-14.587
1.201;0.424;0.859;212.646;71.533;-14.709
1.090;0.422;0.767;218.079;77.026;-21.118
1.064;0.299;0.701;204.224;73.059;-36.926
0.952;0.288;0.939;172.119;65.186;-48.218
1.125;0.288;0.775;173.157;72.693;-55.115
1.038;0.313;0.681;177.917;92.224;-48.950
0.929;0.295;0.584;173.523;106.201;-30.945
0.981;0.254;0.537;170.349;114.136;-9.766
0.985;0.312;0.554;162.598;110.962;7.507
0.844;0.384;0.581;151.062;97.900;10.742
0.707;0.382;0.511;159.973;89.417;10.010
0.660;0.374;0.485;170.471;79.041;17.151
0.641;0.369;0.519;194.763;76.355;31.189
0.759;0.353;0.493;221.741;90.942;40.833
0.747;0.335;0.512;225.891;114.197;31.799
0.784;0.265;0.507;226.685;135.620;16.602
0.837;0.174;0.432;233.765;152.405;1.404
0.850;0.049;0.288;223.206;151.611;-24.902
0.755;-0.006;0.173;198.975;148.865;-57.617
0.741;-0.105;0.051;197.266;146.606;-76.111
0.768;-0.265;-0.010;189.941;139.099;-78.918
0.800;-0.246;-0.183;144.043;135.376;-67.932
0.769;-0.296;-0.306;60.242;125.671;-50.720
0.792;-0.328;-0.188;-36.072;113.220;-36.499
0.799;-0.273;-0.196;-113.281;111.145;-30.029
0.849;-0.250;-0.206;-168.274;113.708;-29.053
0.927;-0.342;-0.232;-207.520;118.958;-38.391
1.118;-0.370;0.044;-235.596;131.348;-58.289
1.234;-0.288;0.320;-165.344;149.536;-87.402
-0.342;-0.571;0.317;64.636;159.119;-116.211
0.354;-0.109;-0.460;429.932;117.188;-137.085
0.995;-0.128;-1.254;395.813;56.946;-151.794
0.977;-0.152;-1.093;130.493;15.442;-115.112
0.952;-0.100;-0.458;10.742;17.517;-88.989
0.957;-0.069;-0.289;67.505;28.259;-90.881
0.625;-0.127;-0.417;150.635;6.714;-99.182
0.488;-0.001;-0.445;157.104;-18.921;-99.609
0.198;0.006;-0.175;119.629;-11.780;-93.933
0.252;0.021;-0.256;91.125;91.858;-55.359
0.507;-0.054;-0.571;36.804;180.847;-38.635
0.547;-0.189;-0.566;-18.738;175.842;-33.386
0.518;-0.284;-0.663;-24.414;159.119;-33.691
0.534;-0.373;-0.744;2.380;144.043;-29.480
0.570;-0.362;-0.758;39.490;124.817;-24.963
0.596;-0.344;-0.696;92.834;105.347;-27.527
0.600;-0.337;-0.607;152.405;91.858;-41.504
0.587;-0.359;-0.568;207.153;86.975;-56.030
0.531;-0.370;-0.554;240.051;86.121;-61.951
0.384;-0.420;-0.606;250.427;87.402;-57.678
0.167;-0.549;-1.078;235.291;85.449;-41.138
-0.082;-0.363;-1.052;116.943;67.444;-10.559
-0.332;-0.176;-0.756;58.594;34.058;18.982
-0.255;-0.159;-0.803;189.575;-2.258;22.827
-0.173;0.107;-0.866;271.484;-39.734;20.752
0.043;-0.586;-0.955;251.343;-63.721;16.418
0.219;-0.696;-0.882;181.946;-78.491;41.565
0.396;-0.544;-0.962;231.445;-104.065;56.946
0.611;-0.192;-1.085;282.349;-145.996;68.054
0.822;-0.084;-1.071;310.974;-191.650;61.218
3.354;-1.163;0.285;303.955;-245.422;58.350
3.015;1.077;2.937;-80.444;-199.585;125.732
0.874;0.055;-0.426;172.302;29.846;41.077
0.625;0.417;-0.630;443.298;77.881;-62.927
0.857;0.157;-0.676;326.294;89.294;-28.564
0.907;0.141;-0.721;217.102;88.196;-7.812
0.857;0.097;-0.633;107.971;82.336;2.197
0.749;0.111;-0.573;43.945;85.999;2.625
0.738;0.142;-0.506;34.607;90.210;-2.747
0.711;0.095;-0.473;33.936;85.510;-4.944
0.697;0.193;-0.612;-5.676;82.397;-5.310
0.667;0.331;-0.760;-59.509;84.412;-13.000
0.764;0.292;-0.884;-87.585;89.233;-12.329
0.848;0.147;-0.831;-98.633;89.294;-4.089
0.844;0.023;-0.779;-113.037;99.426;10.132
0.861;-0.091;-0.875;-143.005;122.314;32.227
1.016;-0.016;-0.865;-198.242;135.254;55.054
1.157;-0.014;-0.986;-228.821;140.381;75.989
0.481;-0.163;-0.834;-213.196;127.563;115.112
0.561;-0.012;-0.888;-262.024;103.394;111.450
0.847;-0.039;-0.894;-342.590;98.511;126.160
0.765;0.033;-0.808;-405.518;115.173;141.296
0.789;0.123;-0.577;-412.537;108.337;104.553
0.805;0.028;-0.381;-382.446;108.887;53.284
0.690;-0.111;-0.405;-336.792;130.615;10.254
0.597;-0.238;-0.487;-309.326;148.743;-14.893
0.564;-0.216;-0.540;-313.171;162.170;-26.550
0.462;-0.209;-0.980;-268.616;169.373;-40.710
0.342;-0.973;-1.505;-155.579;134.827;-63.049
0.424;-0.733;-0.766;-174.561;68.420;-32.898
0.695;-0.259;-0.580;-210.632;64.636;15.564
0.689;-0.321;-0.860;-185.913;85.205;11.597
0.565;-0.379;-0.906;-197.693;91.553;2.563
0.528;-0.311;-0.906;-232.361;88.989;7.690
0.474;-0.341;-0.935;-256.226;79.895;8.240
0.422;-0.352;-1.006;-273.804;56.091;7.385
0.397;-0.505;-0.898;-294.800;20.142;9.705
0.349;-0.641;-0.619;-302.673;-10.864;17.212
0.426;-0.606;-0.401;-283.813;-26.367;19.653
0.435;-0.610;-0.399;-227.783;-19.958;12.512
0.437;-0.685;-0.450;-175.354;-7.507;4.333
0.487;-0.760;-0.454;-155.090;1.160;1.770
0.516;-0.789;-0.409;-153.442;8.301;4.578
0.500;-0.584;-0.627;-152.771;13.184;7.507
0.480;-0.758;-0.441;-181.335;10.010;6.836
0.499;-0.696;-0.456;-196.655;10.803;21.118
0.450;-0.739;-0.463;-178.650;10.620;29.419
0.385;-0.764;-0.293;-145.447;5.432;26.733
0.612;-0.778;-0.316;-89.905;-2.014;18.860
0.646;-0.781;-0.392;-33.508;-3.906;8.911
0.601;-0.823;-0.432;1.892;-2.502;-1.709
0.592;-0.866;-0.446;22.583;-3.174;-10.620
