aX;aY;aZ;gX;gY;gZ
-0.228;-0.016;-2.027;-23.010;56.335;152.100
-0.082;0.058;-1.881;-116.272;93.933;179.077
-0.127;0.009;-1.716;-355.652;77.087;191.650
-0.194;-0.171;-1.716;-500.427;98.083;207.947
0.056;-0.343;-1.606;-576.721;125.366;216.003
0.183;-0.326;-1.504;-604.309;143.555;216.492
0.387;-0.370;-1.198;-593.750;145.203;194.275
0.214;-0.184;-0.733;-525.635;140.137;153.625
0.095;-0.299;-0.745;-429.687;154.297;112.122
0.096;3.161;-1.162;-329.041;157.349;38.147
-0.085;-0.110;-1.011;-112.061;90.271;-208.191
-0.150;-0.496;-1.091;43.945;28.564;-283.081
-0.151;-0.353;-1.078;126.892;-44.922;-257.568
-0.023;-0.380;-1.069;190.674;-122.498;-270.020
-0.338;-0.329;-0.818;235.840;-167.114;-256.042
-0.494;-0.436;-0.772;274.048;-190.613;-238.281
-0.506;-0.545;-0.653;283.447;-205.322;-208.191
-0.382;-0.509;-0.668;279.663;-221.497;-171.509
-0.341;-0.438;-0.734;281.006;-243.347;-142.334
-0.227;-0.348;-0.883;265.625;-265.808;-128.296
-0.115;-0.198;-1.023;242.676;-291.565;-128.357
0.052;-0.126;-1.026;238.831;-319.336;-143.005
0.161;-0.030;-0.981;259.949;-347.961;-158.264
0.097;-0.022;-0.892;306.030;-375.549;-174.255
-0.057;-0.465;-1.044;331.177;-235.352;-117.249
-0.250;-0.394;-0.308;135.559;19.226;44.983
-0.238;-0.287;-0.562;1.648;97.473;60.852
-0.177;-0.083;-0.996;-93.384;209.045;64.331
-0.344;-0.345;-1.065;-183.960;234.253;91.553
-0.391;-0.246;-0.783;-489.807;230.774;112.366
-0.292;-0.258;-0.550;-602.417;236.206;87.891
-0.309;-0.471;-0.622;-320.068;210.571;8.606
-0.330;-0.590;-0.858;-46.265;166.870;-44.312
-0.272;-0.060;-1.353;0.671;108.337;-58.655
-0.363;-0.007;-1.275;-14.771;28.137;-84.534
-0.451;-0.458;-1.164;69.641;-45.532;-115.967
-0.341;-0.529;-1.193;123.840;-96.802;-124.634
-0.161;-0.506;-1.271;130.127;-126.343;-121.826
-0.012;-0.556;-1.312;114.624;-141.357;-109.375
0.009;-0.486;-1.402;99.548;-135.742;-81.787
-0.133;-0.482;-1.373;55.542;-112.976;-40.588
-0.263;-0.440;-1.291;28.503;-78.003;10.681
-0.286;-0.331;-1.380;5.066;-19.775;75.012
-0.141;-0.084;-1.310;-200.928;46.997;141.907
0.003;-0.069;-1.266;-314.880;82.275;169.312
0.078;-0.239;-1.230;-246.826;73.120;161.987
0.158;-0.336;-1.190;-168.518;41.199;146.667
0.154;-0.329;-1.185;-124.146;11.597;130.493
0.121;-0.276;-1.174;-94.238;-17.578;124.939
0.045;-0.182;-0.999;-87.219;-64.087;132.874
-0.056;-0.069;-0.723;-54.932;-124.512;138.489
-0.118;-0.024;-0.367;5.005;-181.824;130.676
-0.019;-0.067;0.795;-211.731;-194.946;123.840
0.022;0.390;0.241;-388.916;-106.384;145.630
0.174;0.302;-0.295;130.615;-41.931;88.989
0.176;0.187;-0.327;212.158;-18.372;-3.784
0.226;0.113;-0.489;149.292;12.634;-74.463
0.244;0.114;-0.855;108.032;26.428;-97.046
0.323;0.047;-0.677;27.405;38.391;-88.318
0.383;-0.375;-0.509;111.206;72.754;-122.803
0.202;-0.767;-0.990;379.761;110.657;-172.913
0.101;-0.944;-2.271;396.118;147.278;-148.682
0.129;-0.923;-2.510;-16.663;123.901;-68.176
0.222;-0.532;-1.835;-233.948;30.396;11.475
0.143;-0.321;-1.218;-88.623;-43.823;50.720
0.211;-0.616;-1.032;-80.261;-40.405;57.312
0.236;-0.754;-1.091;-187.012;5.066;86.914
0.208;-0.802;-1.198;-277.283;43.091;128.967
0.132;-0.744;-1.351;-336.243;63.782;164.734
0.051;-0.620;-1.527;-356.323;64.575;183.105
-0.005;-0.656;-1.530;-345.703;45.105;184.875
-0.002;-0.777;-1.351;-316.833;17.517;180.908
0.093;-0.796;-1.089;-294.739;2.747;182.983
0.130;-0.816;-0.840;-327.393;7.446;182.556
0.149;-0.901;-0.694;-401.794;41.748;169.434
0.072;-0.992;-0.687;-457.336;94.727;156.494
-0.022;-1.073;-0.685;-427.063;135.498;150.574
0.001;-0.975;-0.602;-345.825;154.236;151.611
-0.001;-0.922;-0.687;-313.110;164.795;151.733
-0.024;-0.839;-0.839;-316.284;158.264;145.691
0.093;-0.708;-0.842;-267.029;122.375;136.597
0.209;-0.589;-0.829;-190.308;69.702;127.625
0.221;-0.599;-0.800;-111.755;16.418;110.229
0.125;-1.033;-0.670;-26.245;-41.992;83.801
0.091;-0.953;-0.570;44.128;-83.374;76.904
0.017;-1.211;-0.385;128.113;-93.201;44.373
-0.008;-1.447;-0.188;135.803;-60.486;27.588
-0.071;-1.342;-0.220;60.059;-19.775;53.894
